Date,Aged1to4,Aged5to14,Aged15to24,Aged25to34,Aged35to44,Aged45to54,Aged55to64,Aged65to74,Aged75to84,Aged85up,Total,SchoolsClosed,Alpha,Delta,Omicron
04/03/2020,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0
05/03/2020,0,1,0,0,2,0,0,0,0,0,3,0,0,0,0
06/03/2020,0,1,0,0,2,0,0,0,0,0,3,0,0,0,0
07/03/2020,0,0,0,0,2,2,1,0,0,0,5,0,0,0,0
08/03/2020,0,0,0,1,1,0,1,0,0,0,3,0,0,0,0
09/03/2020,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0
10/03/2020,0,0,0,0,1,2,3,1,0,0,7,0,0,0,0
11/03/2020,0,0,1,3,1,2,3,1,1,0,12,0,0,0,0
12/03/2020,0,0,0,2,0,2,4,2,1,1,12,1,0,0,0
13/03/2020,0,0,10,5,5,4,3,2,0,0,29,1,0,0,0
14/03/2020,0,1,2,3,6,8,9,0,2,1,32,1,0,0,0
15/03/2020,0,0,3,3,7,6,6,6,1,1,33,1,0,0,0
16/03/2020,0,0,3,6,9,2,4,2,1,0,27,1,0,0,0
17/03/2020,1,0,8,24,26,10,12,5,8,4,98,1,0,0,0
18/03/2020,1,4,10,16,17,9,7,5,9,1,79,1,0,0,0
19/03/2020,0,0,8,14,17,13,14,6,6,6,84,1,0,0,0
20/03/2020,2,1,9,31,24,33,15,7,9,11,142,1,0,0,0
21/03/2020,1,2,6,19,27,36,16,5,10,4,126,1,0,0,0
22/03/2020,0,4,6,37,17,27,16,9,4,4,124,1,0,0,0
23/03/2020,0,1,8,24,19,32,18,10,12,4,128,1,0,0,0
24/03/2020,0,3,17,39,30,38,29,20,14,8,198,1,0,0,0
25/03/2020,3,2,17,37,33,52,32,25,12,7,220,1,0,0,0
26/03/2020,2,3,12,45,57,37,37,23,18,12,246,1,0,0,0
27/03/2020,4,0,13,48,48,48,36,27,26,12,262,1,0,0,0
28/03/2020,1,3,19,49,63,64,43,33,26,8,309,1,0,0,0
29/03/2020,0,0,16,40,49,35,47,18,37,15,257,1,0,0,0
30/03/2020,2,1,7,28,32,36,38,19,14,17,194,1,0,0,0
31/03/2020,2,0,15,39,46,54,42,32,49,24,303,1,0,0,0
01/04/2020,0,1,21,45,66,50,39,21,30,16,289,1,0,0,0
02/04/2020,1,0,18,54,68,82,55,36,32,20,366,1,0,0,0
03/04/2020,1,3,20,58,67,74,47,30,36,24,360,1,0,0,0
04/04/2020,3,2,15,69,57,64,63,49,48,57,427,1,0,0,0
05/04/2020,0,1,17,69,93,78,48,42,62,51,461,1,0,0,0
06/04/2020,6,3,60,127,145,139,98,43,38,17,676,1,0,0,0
07/04/2020,0,3,17,62,67,69,51,39,40,37,385,1,0,0,0
08/04/2020,3,2,20,92,63,102,76,26,43,37,464,1,0,0,0
09/04/2020,3,2,38,115,127,117,89,41,40,41,613,1,0,0,0
10/04/2020,3,7,48,118,111,137,122,61,49,42,698,1,0,0,0
11/04/2020,5,4,54,139,140,128,113,36,43,43,705,1,0,0,0
