country,date,cumulative_cases_cal,timeline,daily_cases,status,schools_closed,country_code,who_region,new_cases,cumulative_cases,new_deaths,cumulative_deaths
Austria,2020-02-26,1,NA,NA,Fully open,0,AT,EURO,1,1,0,0
Austria,2020-02-27,3,1,2,Fully open,0,AT,EURO,0,1,0,0
Austria,2020-02-28,7,1,4,Fully open,0,AT,EURO,0,1,0,0
Austria,2020-02-29,8,1,1,Fully open,0,AT,EURO,2,3,0,0
Austria,2020-03-01,12,1,4,Fully open,0,AT,EURO,4,7,0,0
Austria,2020-03-02,17,1,5,Fully open,0,AT,EURO,1,8,0,0
Austria,2020-03-03,23,1,6,Fully open,0,AT,EURO,4,12,0,0
Austria,2020-03-04,37,1,14,Fully open,0,AT,EURO,5,17,0,0
Austria,2020-03-05,46,1,9,Fully open,0,AT,EURO,6,23,0,0
Austria,2020-03-06,75,1,29,Fully open,0,AT,EURO,14,37,0,0
Austria,2020-03-07,98,1,23,Fully open,0,AT,EURO,9,46,0,0
Austria,2020-03-08,126,1,28,Fully open,0,AT,EURO,29,75,0,0
Austria,2020-03-09,148,1,22,Fully open,0,AT,EURO,23,98,0,0
Austria,2020-03-10,203,1,55,Fully open,0,AT,EURO,28,126,0,0
Austria,2020-03-11,312,1,109,Fully open,0,AT,EURO,22,148,0,0
Austria,2020-03-12,410.1,1,98,Fully open,0,AT,EURO,55,203,0,0
Austria,2020-03-13,592.1,1,182,Fully open,0,AT,EURO,109,312,0,0
Austria,2020-03-14,802.1,1,210,Fully open,0,AT,EURO,98,410,1,1
Austria,2020-03-15,1000,1,198,Fully open,0,AT,EURO,182,592,0,1
Austria,2020-03-16,1225.9,1,226,Closed due to COVID-19,1,AT,EURO,210,802,1,2
Austria,2020-03-17,1572.1,1,346,Closed due to COVID-19,1,AT,EURO,198,1000,1,3
Austria,2020-03-18,1944,1,372,Closed due to COVID-19,1,AT,EURO,226,1226,2,5
Austria,2020-03-19,2399,1,455,Closed due to COVID-19,1,AT,EURO,346,1572,2,7
Austria,2020-03-20,2908,1,509,Closed due to COVID-19,1,AT,EURO,372,1944,5,12
Austria,2020-03-21,3456,1,548,Closed due to COVID-19,1,AT,EURO,455,2399,3,15
Austria,2020-03-22,4074,1,618,Closed due to COVID-19,1,AT,EURO,509,2908,5,20
Austria,2020-03-23,4761,1,687,Closed due to COVID-19,1,AT,EURO,548,3456,6,26
Austria,2020-03-24,5484,1,723,Closed due to COVID-19,1,AT,EURO,618,4074,8,34
Austria,2020-03-25,6237.9,1,754,Closed due to COVID-19,1,AT,EURO,687,4761,12,46
Austria,2020-03-26,7295,1,1057,Closed due to COVID-19,1,AT,EURO,723,5484,10,56
Austria,2020-03-27,8102.1,1,807,Closed due to COVID-19,1,AT,EURO,754,6238,9,65
Austria,2020-03-28,8719.1,1,617,Closed due to COVID-19,1,AT,EURO,1057,7295,16,81
Austria,2020-03-29,9266.1,1,547,Closed due to COVID-19,1,AT,EURO,807,8102,20,101
Austria,2020-03-30,9937,1,671,Closed due to COVID-19,1,AT,EURO,617,8719,19,120
Austria,2020-03-31,10488,1,551,Closed due to COVID-19,1,AT,EURO,547,9266,14,134
Austria,2020-04-01,11037.1,1,549,Closed due to COVID-19,1,AT,EURO,671,9937,21,155
Austria,2020-04-02,11475,1,438,Closed due to COVID-19,1,AT,EURO,551,10488,18,173
Austria,2020-04-03,11886,1,411,Closed due to COVID-19,1,AT,EURO,549,11037,11,184
Austria,2020-04-04,12138.9,1,253,Academic break,1,AT,EURO,438,11475,20,204
Austria,2020-04-05,12322.1,1,183,Academic break,1,AT,EURO,411,11886,18,222
Austria,2020-04-06,12627.9,1,306,Academic break,1,AT,EURO,253,12139,20,242
Austria,2020-04-07,12917.1,1,289,Academic break,1,AT,EURO,183,12322,22,264
Austria,2020-04-08,13207,1,290,Academic break,1,AT,EURO,306,12628,31,295
