country,age_grp,date,cumulative_cases_cal,timeline,daily_cases,daily_changes
Austria,aged0to4,2020-02-26,0,NA,NA,NA
Austria,aged0to4,2020-02-27,0,1,0,NA
Austria,aged0to4,2020-02-28,0,1,0,0
Austria,aged0to4,2020-02-29,0,1,0,0
Austria,aged0to4,2020-03-01,0,1,0,0
Austria,aged0to4,2020-03-02,0,1,0,0
Austria,aged0to4,2020-03-03,0,1,0,0
Austria,aged0to4,2020-03-04,0,1,0,0
Austria,aged0to4,2020-03-05,0,1,0,0
Austria,aged0to4,2020-03-06,0,1,0,0
Austria,aged0to4,2020-03-07,0,1,0,0
Austria,aged0to4,2020-03-08,0,1,0,0
Austria,aged0to4,2020-03-09,0,1,0,0
Austria,aged0to4,2020-03-10,1,1,1,1
Austria,aged0to4,2020-03-11,1,1,0,-1
Austria,aged0to4,2020-03-12,1,1,0,0
Austria,aged0to4,2020-03-13,1,1,0,0
Austria,aged0to4,2020-03-14,2,1,1,1
Austria,aged0to4,2020-03-15,3,1,1,0
Austria,aged0to4,2020-03-16,4,1,1,0
Austria,aged0to4,2020-03-17,4,1,0,-1
Austria,aged0to4,2020-03-18,4,1,0,0
Austria,aged0to4,2020-03-19,4,1,0,0
Austria,aged0to4,2020-03-20,4,1,0,0
Austria,aged0to4,2020-03-21,6,1,2,2
Austria,aged0to4,2020-03-22,9,1,3,1
Austria,aged0to4,2020-03-23,14,1,5,2
Austria,aged0to4,2020-03-24,15,1,1,-4
Austria,aged0to4,2020-03-25,17,1,2,1
Austria,aged0to4,2020-03-26,26,1,9,7
Austria,aged0to4,2020-03-27,29,1,3,-6
Austria,aged0to4,2020-03-28,35,1,6,3
Austria,aged0to4,2020-03-29,38,1,3,-3
Austria,aged0to4,2020-03-30,40,1,2,-1
Austria,aged0to4,2020-03-31,41,1,1,-1
Austria,aged0to4,2020-04-01,45,1,4,3
Austria,aged0to4,2020-04-02,46,1,1,-3
Austria,aged0to4,2020-04-03,53,1,7,6
Austria,aged0to4,2020-04-04,53,1,0,-7
Austria,aged0to4,2020-04-05,56,1,3,3
Austria,aged0to4,2020-04-06,58,1,2,-1
Austria,aged0to4,2020-04-07,60,1,2,0
Austria,aged0to4,2020-04-08,64,1,4,2
Austria,aged0to4,2020-04-09,68,1,4,0
Austria,aged0to4,2020-04-10,70,1,2,-2
Austria,aged0to4,2020-04-11,72,1,2,0
Austria,aged0to4,2020-04-12,74,1,2,0
Austria,aged0to4,2020-04-13,74,1,0,-2
Austria,aged0to4,2020-04-14,75,1,1,1
Austria,aged0to4,2020-04-15,75,1,0,-1
Austria,aged0to4,2020-04-16,76,1,1,1
Austria,aged0to4,2020-04-17,79,1,3,2
Austria,aged0to4,2020-04-18,79,1,0,-3
Austria,aged0to4,2020-04-19,79,1,0,0
Austria,aged0to4,2020-04-20,79,1,0,0
Austria,aged0to4,2020-04-21,79,1,0,0
Austria,aged0to4,2020-04-22,80,1,1,1
Austria,aged0to4,2020-04-23,81,1,1,0
Austria,aged0to4,2020-04-24,81,1,0,-1
Austria,aged0to4,2020-04-25,81,1,0,0
Austria,aged0to4,2020-04-26,83,1,2,2
Austria,aged0to4,2020-04-27,83,1,0,-2
Austria,aged0to4,2020-04-28,85,1,2,2
Austria,aged0to4,2020-04-29,87,1,2,0
Austria,aged0to4,2020-04-30,88,1,1,-1
Austria,aged0to4,2020-05-01,89,1,1,0
Austria,aged0to4,2020-05-02,89,1,0,-1
Austria,aged0to4,2020-05-03,89,1,0,0
Austria,aged0to4,2020-05-04,89,1,0,0
Austria,aged0to4,2020-05-05,90,1,1,1
Austria,aged0to4,2020-05-06,91,1,1,0
Austria,aged0to4,2020-05-07,91,1,0,-1
Austria,aged0to4,2020-05-08,92,1,1,1
Austria,aged0to4,2020-05-09,92,1,0,-1
Austria,aged0to4,2020-05-10,92,1,0,0
Austria,aged0to4,2020-05-11,92,1,0,0
Austria,aged0to4,2020-05-12,94,1,2,2
Austria,aged0to4,2020-05-13,94,1,0,-2
Austria,aged0to4,2020-05-14,95,1,1,1
Austria,aged0to4,2020-05-15,101,1,6,5
Austria,aged0to4,2020-05-16,101,1,0,-6
Austria,aged0to4,2020-05-17,102,1,1,1
Austria,aged0to4,2020-05-18,104,1,2,1
Austria,aged0to4,2020-05-19,105,1,1,-1
Austria,aged0to4,2020-05-20,105,1,0,-1
Austria,aged0to4,2020-05-21,105,1,0,0
Austria,aged0to4,2020-05-22,109,1,4,4
Austria,aged0to4,2020-05-23,112,1,3,-1
Austria,aged0to4,2020-05-24,112,1,0,-3
Austria,aged0to4,2020-05-25,114,1,2,2
Austria,aged0to4,2020-05-26,114,1,0,-2
Austria,aged0to4,2020-05-27,116,1,2,2
Austria,aged0to4,2020-05-28,118,1,2,0
Austria,aged0to4,2020-05-29,119,1,1,-1
Austria,aged0to4,2020-05-30,120,1,1,0
Austria,aged0to4,2020-05-31,120,1,0,-1
Austria,aged0to4,2020-06-01,120,1,0,0
Austria,aged0to4,2020-06-02,121,1,1,1
Austria,aged0to4,2020-06-03,121,1,0,-1
Austria,aged0to4,2020-06-04,122,1,1,1
Austria,aged0to4,2020-06-05,125,1,3,2
Austria,aged0to4,2020-06-06,125,1,0,-3
Austria,aged0to4,2020-06-07,127,1,2,2
Austria,aged0to4,2020-06-08,127,1,0,-2
Austria,aged0to4,2020-06-09,127,1,0,0
Austria,aged0to4,2020-06-10,129,1,2,2
Austria,aged0to4,2020-06-11,129,1,0,-2
Austria,aged0to4,2020-06-12,129,1,0,0
Austria,aged0to4,2020-06-13,129,1,0,0
Austria,aged0to4,2020-06-14,130,1,1,1
Austria,aged0to4,2020-06-15,132,1,2,1
Austria,aged0to4,2020-06-16,132,1,0,-2
Austria,aged0to4,2020-06-17,132,1,0,0
Austria,aged0to4,2020-06-18,135,1,3,3
Austria,aged0to4,2020-06-19,135,1,0,-3
Austria,aged0to4,2020-06-20,136,1,1,1
Austria,aged0to4,2020-06-21,138,1,2,1
Austria,aged0to4,2020-06-22,139,1,1,-1
Austria,aged0to4,2020-06-23,140,1,1,0
Austria,aged0to4,2020-06-24,142,1,2,1
Austria,aged0to4,2020-06-25,143,1,1,-1
Austria,aged0to4,2020-06-26,144,1,1,0
Austria,aged0to4,2020-06-27,145,1,1,0
Austria,aged0to4,2020-06-28,152,1,7,6
Austria,aged0to4,2020-06-29,154,1,2,-5
Austria,aged0to4,2020-06-30,158,1,4,2
Austria,aged0to4,2020-07-01,161,1,3,-1
Austria,aged0to4,2020-07-02,164,1,3,0
Austria,aged0to4,2020-07-03,170,1,6,3
Austria,aged0to4,2020-07-04,173,1,3,-3
Austria,aged0to4,2020-07-05,182,1,9,6
Austria,aged0to4,2020-07-06,185,1,3,-6
Austria,aged0to4,2020-07-07,188,1,3,0
Austria,aged0to4,2020-07-08,190,1,2,-1
Austria,aged0to4,2020-07-09,191,1,1,-1
Austria,aged0to4,2020-07-10,196,1,5,4
Austria,aged0to4,2020-07-11,199,1,3,-2
Austria,aged0to4,2020-07-12,202,1,3,0
Austria,aged0to4,2020-07-13,204,1,2,-1
Austria,aged0to4,2020-07-14,207,1,3,1
Austria,aged0to4,2020-07-15,207,1,0,-3
Austria,aged0to4,2020-07-16,214,1,7,7
Austria,aged0to4,2020-07-17,217,1,3,-4
Austria,aged0to4,2020-07-18,219,1,2,-1
Austria,aged0to4,2020-07-19,222,1,3,1
Austria,aged0to4,2020-07-20,226,1,4,1
Austria,aged0to4,2020-07-21,228,1,2,-2
Austria,aged0to4,2020-07-22,230,1,2,0
Austria,aged0to4,2020-07-23,231,1,1,-1
Austria,aged0to4,2020-07-24,236,1,5,4
Austria,aged0to4,2020-07-25,240,1,4,-1
Austria,aged0to4,2020-07-26,243,1,3,-1
Austria,aged0to4,2020-07-27,246,1,3,0
Austria,aged0to4,2020-07-28,250,1,4,1
Austria,aged0to4,2020-07-29,256,1,6,2
Austria,aged0to4,2020-07-30,261,1,5,-1
Austria,aged0to4,2020-07-31,263,1,2,-3
Austria,aged0to4,2020-08-01,266,1,3,1
Austria,aged0to4,2020-08-02,267,1,1,-2
Austria,aged0to4,2020-08-03,267,1,0,-1
Austria,aged0to4,2020-08-04,268,1,1,1
Austria,aged0to4,2020-08-05,271,1,3,2
Austria,aged0to4,2020-08-06,271,1,0,-3
Austria,aged0to4,2020-08-07,272,1,1,1
Austria,aged0to4,2020-08-08,275,1,3,2
Austria,aged0to4,2020-08-09,277,1,2,-1
Austria,aged0to4,2020-08-10,281,1,4,2
Austria,aged0to4,2020-08-11,286,1,5,1
Austria,aged0to4,2020-08-12,289,1,3,-2
Austria,aged0to4,2020-08-13,291,1,2,-1
Austria,aged0to4,2020-08-14,294,1,3,1
Austria,aged0to4,2020-08-15,295,1,1,-2
Austria,aged0to4,2020-08-16,296,1,1,0
Austria,aged0to4,2020-08-17,298,1,2,1
Austria,aged0to4,2020-08-18,300,1,2,0
Austria,aged0to4,2020-08-19,307,1,7,5
Austria,aged0to4,2020-08-20,311,1,4,-3
Austria,aged0to4,2020-08-21,318,1,7,3
Austria,aged0to4,2020-08-22,323,1,5,-2
Austria,aged0to4,2020-08-23,324,1,1,-4
Austria,aged0to4,2020-08-24,329,1,5,4
Austria,aged0to4,2020-08-25,336,1,7,2
Austria,aged0to4,2020-08-26,344,1,8,1
Austria,aged0to4,2020-08-27,348,1,4,-4
Austria,aged0to4,2020-08-28,355,1,7,3
Austria,aged0to4,2020-08-29,358,1,3,-4
Austria,aged0to4,2020-08-30,362,1,4,1
Austria,aged0to4,2020-08-31,370,1,8,4
Austria,aged0to4,2020-09-01,373,1,3,-5
Austria,aged0to4,2020-09-02,382,1,9,6
Austria,aged0to4,2020-09-03,391,1,9,0
Austria,aged0to4,2020-09-04,399,1,8,-1
Austria,aged0to4,2020-09-05,407,1,8,0
Austria,aged0to4,2020-09-06,413,1,6,-2
Austria,aged0to4,2020-09-07,420,1,7,1
Austria,aged0to4,2020-09-08,437,1,17,10
