country,date,cumulative_cases_cal,timeline,daily_cases,status,schools_closed,country_code,who_region,new_cases,cumulative_cases,new_deaths,cumulative_deaths
Austria,2020-02-26,1,NA,NA,Fully open,0,AT,EURO,1,1,0,0
Austria,2020-02-27,3,1,2,Fully open,0,AT,EURO,0,1,0,0
Austria,2020-02-28,7,1,4,Fully open,0,AT,EURO,0,1,0,0
Austria,2020-02-29,8,1,1,Fully open,0,AT,EURO,2,3,0,0
Austria,2020-03-01,12,1,4,Fully open,0,AT,EURO,4,7,0,0
Austria,2020-03-02,17,1,5,Fully open,0,AT,EURO,1,8,0,0
Austria,2020-03-03,23,1,6,Fully open,0,AT,EURO,4,12,0,0
Austria,2020-03-04,37,1,14,Fully open,0,AT,EURO,5,17,0,0
Austria,2020-03-05,46,1,9,Fully open,0,AT,EURO,6,23,0,0
Austria,2020-03-06,75,1,29,Fully open,0,AT,EURO,14,37,0,0
Austria,2020-03-07,98,1,23,Fully open,0,AT,EURO,9,46,0,0
Austria,2020-03-08,126,1,28,Fully open,0,AT,EURO,29,75,0,0
Austria,2020-03-09,148,1,22,Fully open,0,AT,EURO,23,98,0,0
Austria,2020-03-10,203,1,55,Fully open,0,AT,EURO,28,126,0,0
Austria,2020-03-11,312,1,109,Fully open,0,AT,EURO,22,148,0,0
Austria,2020-03-12,409.1,1,97,Fully open,0,AT,EURO,55,203,0,0
Austria,2020-03-13,591.1,1,182,Fully open,0,AT,EURO,108,311,0,0
Austria,2020-03-14,801.1,1,210,Fully open,0,AT,EURO,96,407,1,1
Austria,2020-03-15,999,1,198,Fully open,0,AT,EURO,181,588,0,1
Austria,2020-03-16,1224.9,1,226,Closed due to COVID-19,1,AT,EURO,183,771,1,2
Austria,2020-03-17,1571.0999999999997,1,346,Closed due to COVID-19,1,AT,EURO,170,941,1,3
Austria,2020-03-18,1943,1,372,Closed due to COVID-19,1,AT,EURO,35,976,3,6
Austria,2020-03-19,2398,1,455,Closed due to COVID-19,1,AT,EURO,40,1016,1,7
Austria,2020-03-20,2907,1,509,Closed due to COVID-19,1,AT,EURO,29,1045,3,10
Austria,2020-03-21,3455.0000000000005,1,548,Closed due to COVID-19,1,AT,EURO,34,1079,2,12
Austria,2020-03-22,4073,1,618,Closed due to COVID-19,1,AT,EURO,53,1132,3,15
Austria,2020-03-23,4760,1,687,Closed due to COVID-19,1,AT,EURO,82,1214,2,17
Austria,2020-03-24,5483,1,723,Closed due to COVID-19,1,AT,EURO,74,1288,4,21
Austria,2020-03-25,6236.9000000000005,1,754,Closed due to COVID-19,1,AT,EURO,553,1841,8,29
Austria,2020-03-26,7293.1,1,1056,Closed due to COVID-19,1,AT,EURO,645,2486,8,37
Austria,2020-03-27,8099.999999999999,1,807,Closed due to COVID-19,1,AT,EURO,668,3154,6,43
Austria,2020-03-28,8717.1,1,617,Closed due to COVID-19,1,AT,EURO,1008,4162,9,52
Austria,2020-03-29,9264.1,1,547,Closed due to COVID-19,1,AT,EURO,784,4946,13,65
Austria,2020-03-30,9937.000000000002,1,673,Closed due to COVID-19,1,AT,EURO,611,5557,12,77
Austria,2020-03-31,10487.1,1,550,Closed due to COVID-19,1,AT,EURO,544,6101,13,90
Austria,2020-04-01,11035,1,548,Closed due to COVID-19,1,AT,EURO,664,6765,19,109
Austria,2020-04-02,11472.9,1,438,Closed due to COVID-19,1,AT,EURO,547,7312,15,124
Austria,2020-04-03,11884.000000000002,1,411,Closed due to COVID-19,1,AT,EURO,546,7858,11,135
Austria,2020-04-04,12137.000000000002,1,253,Academic break,1,AT,EURO,433,8291,18,153
Austria,2020-04-05,12319.9,1,183,Academic break,1,AT,EURO,409,8700,16,169
Austria,2020-04-06,12626,1,306,Academic break,1,AT,EURO,248,8948,18,187
Austria,2020-04-07,12915,1,289,Academic break,1,AT,EURO,183,9131,20,207
Austria,2020-04-08,13205,1,290,Academic break,1,AT,EURO,303,9434,28,235
