X,Y,country,te,ete,se,p-value,direction
aged0to4,aged10to14,Austria,0.016981960072428106,0.004603905583716662,0.004559091614916287,0.08666666666666667,X->Y
aged0to4,aged10to14,Belgium,0.011057154454554702,0,0.004639827705628312,0.5833333333333334,X->Y
aged0to4,aged10to14,Bulgaria,0.025701926005562366,0.012373482836384527,0.005190645700971768,0.02666666666666667,X->Y
aged0to4,aged10to14,Croatia,0.018306581813674797,0.005372888603657318,0.00588438447620769,0.20333333333333334,X->Y
aged0to4,aged10to14,Estonia,0.031088381563918296,0.01887271335183867,0.004533799393678382,0,X->Y
aged0to4,aged10to14,France,0.0144515392645698,0.0038639942333246104,0.003786125218682715,0.18333333333333332,X->Y
aged0to4,aged10to14,Germany,0.013859138847939571,0.0029548669787914043,0.0043138939697155146,0.19,X->Y
aged0to4,aged10to14,Greece,0.01740471118210598,0,0.007448315673878861,0.41333333333333333,X->Y
aged0to4,aged10to14,Netherlands,0.038619031141701204,0.026418385812154964,0.004173959446429356,0,X->Y
aged0to4,aged10to14,Portugal,0.023384250641521317,0.009967565312117198,0.004501419832067444,0.013333333333333334,X->Y
aged0to4,aged10to14,Slovakia,0.03790647948462021,0.025990557176413326,0.004410776167481384,0,X->Y
aged0to4,aged10to14,Spain,0.03570886408106393,0.023736889031175726,0.003922866229733945,0,X->Y
aged0to4,aged15to19,Austria,0.03504219727103809,0.0226892205314103,0.0045194139646505945,0,X->Y
aged0to4,aged15to19,Belgium,0.011743869772284895,0,0.0045323713849162684,0.4866666666666667,X->Y
aged0to4,aged15to19,Bulgaria,0.026129130921944757,0.012963893472147004,0.005180046144324591,0.016666666666666666,X->Y
aged0to4,aged15to19,Croatia,0.021378978345229303,0.007857970795505017,0.004984524405138445,0.056666666666666664,X->Y
aged0to4,aged15to19,Estonia,0.03287183827774173,0.020890555030637015,0.004296035245079581,0,X->Y
aged0to4,aged15to19,France,0.019678552332821914,0.008938476279755251,0.0043601039488162146,0.04666666666666667,X->Y
aged0to4,aged15to19,Germany,0.012818371545836912,7.233887135085909e-4,0.004142464799256269,0.26666666666666666,X->Y
aged0to4,aged15to19,Greece,0.031203423482977846,0.01509289906332038,0.006981582717404846,0.04,X->Y
aged0to4,aged15to19,Netherlands,0.045034570950402225,0.03296710333114391,0.004161778392586331,0,X->Y
aged0to4,aged15to19,Portugal,0.02864139749729618,0.014409728890364468,0.005175580822091103,0.01,X->Y
aged0to4,aged15to19,Slovakia,0.05595594065648616,0.043344484409338996,0.004177047290974908,0,X->Y
aged0to4,aged15to19,Spain,0.03387768749070135,0.021655605832205514,0.0044426385770758884,0.0033333333333333335,X->Y
aged0to4,aged20to24,Austria,0.03534945918523723,0.023338155558445286,0.004247125161009138,0,X->Y
aged0to4,aged20to24,Belgium,0.018341213055738426,0.00499420478776022,0.004318736910731141,0.09666666666666666,X->Y
aged0to4,aged20to24,Bulgaria,0.018183704674354217,0.005472718663928105,0.004937631002532895,0.12333333333333334,X->Y
aged0to4,aged20to24,Croatia,0.04910574938568971,0.03501400696259192,0.005230402988857306,0,X->Y
aged0to4,aged20to24,Estonia,0.024693389699640696,0.01285202620353199,0.004216719878735301,0.006666666666666667,X->Y
aged0to4,aged20to24,France,0.016849757712927873,0.006136570178708535,0.0037263328265830786,0.07,X->Y
aged0to4,aged20to24,Germany,0.014473271813710551,0.003133563042883595,0.0038708259006238186,0.14,X->Y
aged0to4,aged20to24,Greece,0.05250727025932916,0.03726717934846754,0.007668452484452671,0,X->Y
aged0to4,aged20to24,Netherlands,0.03733580001687825,0.024832850778561094,0.004133283909278797,0,X->Y
aged0to4,aged20to24,Portugal,0.027530130127045326,0.01478951657882233,0.005249134667397673,0.013333333333333334,X->Y
aged0to4,aged20to24,Slovakia,0.03896978490180265,0.026328771672715454,0.004206250309232152,0,X->Y
aged0to4,aged20to24,Spain,0.03654547288640976,0.023845069379490463,0.004080108827120517,0,X->Y
aged0to4,aged25to34,Austria,0.03310197247789986,0.020733552603600353,0.004115431958956517,0,X->Y
aged0to4,aged25to34,Belgium,0.02146326257098084,0.009458471603569024,0.004405567063947888,0.04,X->Y
aged0to4,aged25to34,Bulgaria,0.034157071247286695,0.021896617765339018,0.004733731789827414,0,X->Y
aged0to4,aged25to34,Croatia,0.03867762405691152,0.025587119110790597,0.005333549144303914,0,X->Y
aged0to4,aged25to34,Estonia,0.04192353827941433,0.03134440813713281,0.004639969739046756,0,X->Y
aged0to4,aged25to34,France,0.01892292921721226,0.008910691388707518,0.004006071979962423,0.03,X->Y
aged0to4,aged25to34,Germany,0.026049404103879473,0.014579912578082506,0.003540713194480483,0,X->Y
aged0to4,aged25to34,Greece,0.04411262910538149,0.0290522799977773,0.006924763998263438,0.0033333333333333335,X->Y
aged0to4,aged25to34,Netherlands,0.06991129087321604,0.057990193483298556,0.0043455886832539465,0,X->Y
aged0to4,aged25to34,Portugal,0.030061717981169685,0.016096155489713965,0.005048802711290315,0.006666666666666667,X->Y
aged0to4,aged25to34,Slovakia,0.04426007075250893,0.031325819125661555,0.004338050322220089,0,X->Y
aged0to4,aged25to34,Spain,0.05585700059066973,0.04302742627356314,0.004155667309493246,0,X->Y
aged0to4,aged35to44,Austria,0.028681028362399615,0.01653933300249772,0.004182336607351932,0,X->Y
aged0to4,aged35to44,Belgium,0.024682585221502604,0.012709674813992032,0.004380195010723598,0.016666666666666666,X->Y
aged0to4,aged35to44,Bulgaria,0.01988878046587574,0.008840891124806951,0.005008436719836739,0.10333333333333333,X->Y
aged0to4,aged35to44,Croatia,0.050639956146000926,0.03645809543472072,0.004908827424224456,0,X->Y
aged0to4,aged35to44,Estonia,0.02726475700026076,0.015504034119276823,0.004561298832972776,0,X->Y
aged0to4,aged35to44,France,0.024000409142085913,0.012553492950634546,0.0041914647196435876,0.006666666666666667,X->Y
aged0to4,aged35to44,Germany,0.026219881504703366,0.015340137404776057,0.0035556095380798024,0,X->Y
aged0to4,aged35to44,Greece,0.01656057327944735,0.0036252663826778497,0.007361868006455916,0.4633333333333333,X->Y
aged0to4,aged35to44,Netherlands,0.064111804196609265,0.05222904539728394,0.0036592388699037796,0,X->Y
aged0to4,aged35to44,Portugal,0.03063298003030923,0.01681944010184147,0.00472826169913627,0,X->Y
aged0to4,aged35to44,Slovakia,0.04414400625736834,0.031033619552109037,0.004795538978886891,0,X->Y
aged0to4,aged35to44,Spain,0.053616216809293404,0.04151798406495162,0.004425982423789171,0,X->Y
aged0to4,aged45to54,Austria,0.029853957094933034,0.017640665751014646,0.004454861631285484,0.0033333333333333335,X->Y
aged0to4,aged45to54,Belgium,0.025948692108299476,0.014044497360950441,0.004069304673423918,0.0033333333333333335,X->Y
aged0to4,aged45to54,Bulgaria,0.02655022350189795,0.016295041331050662,0.004837600457694334,0.01,X->Y
aged0to4,aged45to54,Croatia,0.04418767339757672,0.031022375718032742,0.005554948629738823,0,X->Y
aged0to4,aged45to54,Estonia,0.021813757632976778,0.012050576292897176,0.00433448464058506,0.02,X->Y
aged0to4,aged45to54,France,0.03120388900708263,0.019862108772460012,0.004255711701697494,0,X->Y
aged0to4,aged45to54,Germany,0.019682911861409216,0.007843692632891926,0.004033508377636059,0.02666666666666667,X->Y
aged0to4,aged45to54,Greece,0.015036138519531467,0.0025541471578936943,0.007880127250196045,0.56,X->Y
aged0to4,aged45to54,Netherlands,0.07450490253805073,0.06326162223284612,0.003980990579154484,0,X->Y
aged0to4,aged45to54,Portugal,0.04004317138262622,0.026669432195168562,0.004930566959462719,0,X->Y
aged0to4,aged45to54,Slovakia,0.040526250955673214,0.027973213414654266,0.004584913762647479,0,X->Y
aged0to4,aged45to54,Spain,0.04373197364385479,0.03071304067723907,0.0044872656231994806,0,X->Y
aged0to4,aged55to64,Austria,0.025213830140733372,0.012739855206812718,0.0041031279147284395,0.0033333333333333335,X->Y
aged0to4,aged55to64,Belgium,0.027176483799830533,0.014700907569507987,0.004750719638573995,0.006666666666666667,X->Y
aged0to4,aged55to64,Bulgaria,0.028111016228129206,0.018142865250689498,0.004676183517943258,0.006666666666666667,X->Y
aged0to4,aged55to64,Croatia,0.03876349583857083,0.025312051833654245,0.005103223433866975,0,X->Y
aged0to4,aged55to64,Estonia,0.014267259028172205,0.0040542565782429214,0.004458600426173293,0.27,X->Y
aged0to4,aged55to64,France,0.02803395104837844,0.01609128907114781,0.004251069538640697,0.0033333333333333335,X->Y
aged0to4,aged55to64,Germany,0.023788729142735988,0.010890482476730676,0.004224335415832295,0.01,X->Y
aged0to4,aged55to64,Greece,0.02212530521734398,0.008232079793202039,0.007117873600170505,0.19666666666666666,X->Y
aged0to4,aged55to64,Netherlands,0.035854675030144494,0.023471403235559372,0.004835564626344209,0,X->Y
aged0to4,aged55to64,Portugal,0.022121296919802823,0.008365163788956204,0.004936748126743799,0.043333333333333335,X->Y
aged0to4,aged55to64,Slovakia,0.033098848891521614,0.020019081769951735,0.004257620953248877,0,X->Y
aged0to4,aged55to64,Spain,0.029356491565816704,0.016221573913487483,0.004155158692107646,0,X->Y
aged0to4,aged5to9,Austria,0.030041755131923642,0.017933651811078526,0.0042210125204917015,0,X->Y
aged0to4,aged5to9,Belgium,0.014215362361346049,0.002301929287528341,0.004430318339047984,0.24,X->Y
aged0to4,aged5to9,Bulgaria,0.017469481497307305,0.004639722263665335,0.004774471245054079,0.17,X->Y
aged0to4,aged5to9,Croatia,0.023746762672949298,0.009810894205870772,0.005668786582970672,0.043333333333333335,X->Y
aged0to4,aged5to9,Estonia,0.026761002970316382,0.013653594996088265,0.00420146225685696,0.0033333333333333335,X->Y
aged0to4,aged5to9,France,0.0197666753773234,0.008614874901862097,0.004232429852363887,0.03666666666666667,X->Y
aged0to4,aged5to9,Germany,0.009122573067126319,0,0.004028449488701496,0.61,X->Y
aged0to4,aged5to9,Greece,0.03527268847502047,0.017852136453025944,0.007132010956455098,0.016666666666666666,X->Y
aged0to4,aged5to9,Netherlands,0.02282390032381324,0.009654637592661084,0.0038681350476106047,0.01,X->Y
aged0to4,aged5to9,Portugal,0.01677857527243067,0.0023337116331457308,0.004991789975607984,0.15666666666666668,X->Y
aged0to4,aged5to9,Slovakia,0.05131248462027221,0.03843229199795156,0.004535137039756714,0,X->Y
aged0to4,aged5to9,Spain,0.023534493193473442,0.010787250566496738,0.0042792157667928534,0.006666666666666667,X->Y
aged0to4,aged65+,Austria,0.021521448046650328,0.009980202343562866,0.004186412722357974,0.016666666666666666,X->Y
aged0to4,aged65+,Belgium,0.016228372109653767,0.005541092037423378,0.004312896194681653,0.14333333333333334,X->Y
aged0to4,aged65+,Bulgaria,0.03273860945443813,0.023107854383136568,0.0046049091854471,0,X->Y
aged0to4,aged65+,Croatia,0.03431497775173138,0.02180833788755122,0.005569360307762817,0.0033333333333333335,X->Y
aged0to4,aged65+,Estonia,0.009512322846094406,0,0.004625828031117133,0.6333333333333333,X->Y
aged0to4,aged65+,France,0.02570796217099107,0.015377734648328515,0.004180929244994951,0.0033333333333333335,X->Y
aged0to4,aged65+,Germany,0.02402658264575808,0.012900603670076219,0.003966612958372066,0.0033333333333333335,X->Y
aged0to4,aged65+,Greece,0.01816018809615457,0.004641563876957883,0.0071741888607518576,0.37333333333333335,X->Y
